video_title,author,comment,video_likes
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Vienna-Ln,"Poor or rich, even with $282K monthly I'm not satisfied because everything is money and more of it comes more problem But your video genuinely brought a smile to my face. Thank you for that!!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@levimatheri7682,I was smiling the whole time ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@johnabsoluteforce926,This was the best video yet!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@DUBC_OG_610,Ari! These videos are great!  Seeing Chinatown from the insider perspective is so fun!  Can’t wait for the next one,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@TheDCGeneral,Xiaoma's Chinese content is so much better than his content with other languages,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@ladyfallon,"This was so fun to watch & I especially enjoyed watching the interactions between you and the unsuspecting customers, when you went from speaking in English (with an accent), to speaking in Mandarin, as well as some of the specific Fuzhou dialect. Brilliantly done, 

Thank you also for sharing the information about your language app at the beginning of your video. I'm super interested,  myself.  I feel, based merely on what I've seen & read, that the app may be a good fit for learners such as myself, who both prefer & rely on audio feedback/correction, in addition to the visuals of learning _(for example: seeing a word on the screen at the same time an audio pronunciation is being played helps me remember the sound that certain letter combinations may make in any given language).",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Enoughalready20237,Go to 2:00 to skip ad ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@AlbericWaltersChannel,This guy is a legend. Very talented and charismatic.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@simoz78,why none of the costumers asked about a tripod with a camera on top filming the service?....,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@ddgbooks,These videos are always pure entertainment.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@btsan408,"The camera with the tripod in the room, LOL, seems fake to me, Rick.",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@stoicchase,You are so charming that these interactions are so satisfying!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@angelavu1429,1:59 click here if u want to skip the sponser,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@eldridge201,I love the change with these types of vids.  You gotta keep doing them. They are great.  I know you may get recognized in some of them eventually but I think you should still do them as long as you don't get recognized too often.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@PC-tc5je,Is that the owner? ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Burns64363,The owner is bad ass ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@gt3gi0,"I wonder where bro is gonna get hired at next. The waiter vid went crazy, hopefully this goes crazy as well. Keep up the streak Xiaoma",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@stevegonzales527,Bro took language school and being a shill for apps and programs that did nothing ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@hunterkiller1440,"Customer giving feedback = Gossip
ok",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@velsi4,Lol it's so funny to watch. I Love that guy was chill and understanding,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@nickxplore4265,Love this format man! The Chinese are so damn friendly too haha adorable,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@darshnikdeep4650,Ccp has rule you can't disrespect a famous Chinese foreign speaker .,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@1984WillC,Xiaoma on another level!,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@spicytm_,Done his main quest and is now finishing all the side quests.,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@VertigoX7,"Yes yes yes just like mala project video. Please xiaoma, more more more of these kinds of vids!!!! Love you!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@too2ilent893,"LMAO THE TIP, that was hilarious. IM GOING HERE",0
